city,GDP10000,Fiscal10000,Employment,light_sum
邯郸市,31454319,1906215,771689,59158.44957
扬州市,40168400,3367500,1084246,72282.67553
菏泽市,24009600,1776571,519973,41811.28014
哈尔滨市,57512119,4077328,1333069,161393.5951
保定市,30003400,2128605,998300,76328.25674
温州市,46180766,4030735,1065635,108675.1493
南通市,61483955,6256400,2098220,141878.8595
金华市,34023399,3096885,944277,106948.1774
沈阳市,72723051,6062411,1467488,184471.6745
济宁市,40131243,3686166,878554,61477.46138
长春市,55300345,3882213,1260604,163934.91
徐州市,53198804,5306800,1049890,90727.15226
贵阳市,28911600,3741476,1040194,74342.03931
大连市,77316363,5799130,1136838,125080.1077
临沂市,37631700,2838887,938813,87507.41886
佛山市,80039186,5575469,1700391,152753.8287
泉州市,61377139,3883036,1505631,159557.9268
无锡市,85182600,8300000,1187899,171474.5144
烟台市,64460800,5426570,1052017,106685.9189
潍坊市,51705000,4845057,870238,91581.72239
合肥市,56602700,5715440,1438665,139210.3495
福州市,56180844,5604635,1562770,124301.1861
昆明市,39680051,5022161,1328261,131716.301
宁波市,80036103,10064065,1668330,252267.169
南宁市,34100859,2970501,959514,90547.99922
长沙市,85101328,7189468,1304623,107222.834
济南市,61002320,6143172,1318963,91533.21033
石家庄市,54405988,3750529,1003184,95407.28394
厦门市,34660288,6060967,1367698,95864.22092
东莞市,62750737,5179682,2322753,168492.9088
武汉市,109056000,12456338,2072768,175017.5225
青岛市,93000700,10063220,1501168,167059.2569
杭州市,100502079,12338820,2885605,205115.0106
郑州市,73115210,9428968,1985732,155933.856
天津市,165381900,26671100,2947801,375277.1048
苏州市,145040700,15607600,3039299,438909.8309
成都市,108011633,11576393,5360594,249722.6076
重庆市,157172700,21548276,,212169.2312
广州市,181004136,13494742,3203134,250569.5987
南京市,97207700,10200300,2130973,176963.2795
北京市,230145900,47238597,7773448,407422.3997
上海市,251234500,55194964,7228840,564923.3747
深圳市,175028634,27268543,4599649,187258.791
