idx,lon,lat,day,night
116.13_40.51,116.13,40.51,0.0,1.0
116.19_40.4,116.19,40.4,1.0,8.0
116.19_40.5,116.19,40.5,3.0,27.0
116.19_40.2,116.19,40.2,1271.0,2098.0
116.19_40.3,116.19,40.3,1.0,15.0
116.19_40.0,116.19,40.0,200.0,717.0
116.19_40.1,116.19,40.1,287.0,1020.0
116.91_40.1,116.91,40.1,77.0,100.0
115.81_40.56,115.81,40.56,17.0,2.0
116.88_40.31,116.88,40.31,0.0,54.0
116.34_39.68,116.34,39.68,2504.0,25.0
116.34_39.69,116.34,39.69,4559.0,351.0
116.88_40.34,116.88,40.34,1.0,0.0
116.88_40.35,116.88,40.35,42.0,99.0
116.88_40.36,116.88,40.36,2.0,12.0
116.88_40.37,116.88,40.37,31.0,9.0
116.88_40.38,116.88,40.38,1541.0,2044.0
116.34_39.63,116.34,39.63,152.0,276.0
115.54_39.63,115.54,39.63,0.0,27.0
116.34_39.61,116.34,39.61,17.0,670.0
116.34_39.66,116.34,39.66,1301.0,262.0
116.34_39.67,116.34,39.67,1990.0,6003.0
116.34_39.64,116.34,39.64,158.0,23.0
116.34_39.65,116.34,39.65,317.0,13.0
116.06_39.72,116.06,39.72,586.0,2476.0
116.06_39.73,116.06,39.73,1752.0,3091.0
116.06_39.71,116.06,39.71,2827.0,8562.0
116.06_39.76,116.06,39.76,176.0,667.0
116.06_39.77,116.06,39.77,15.0,110.0
116.06_39.74,116.06,39.74,200.0,472.0
115.81_39.59,115.81,39.59,23.0,383.0
115.81_39.56,115.81,39.56,344.0,1220.0
115.81_39.57,115.81,39.57,96.0,616.0
116.06_39.78,116.06,39.78,463.0,261.0
115.81_39.55,115.81,39.55,624.0,24.0
115.81_39.52,115.81,39.52,20.0,52.0
115.81_39.53,115.81,39.53,17.0,516.0
115.57_39.73,115.57,39.73,0.0,1.0
115.57_39.72,115.57,39.72,1.0,13.0
115.97_40.36,115.97,40.36,584.0,789.0
116.18_40.48,116.18,40.48,5.0,62.0
116.46_39.89,116.46,39.89,38983.0,36223.0
116.46_39.88,116.46,39.88,28800.0,35741.0
116.46_39.87,116.46,39.87,16805.0,20973.0
116.46_39.86,116.46,39.86,25065.0,4293.0
116.46_39.85,116.46,39.85,3725.0,15700.0
116.46_39.84,116.46,39.84,5493.0,25314.0
116.46_39.83,116.46,39.83,2241.0,17181.0
116.46_39.82,116.46,39.82,1634.0,2509.0
116.46_39.81,116.46,39.81,3185.0,1057.0
117.16_40.69,117.16,40.69,647.0,113.0
117.16_40.68,117.16,40.68,36.0,35.0
117.16_40.65,117.16,40.65,0.0,2.0
117.16_40.64,117.16,40.64,0.0,6.0
117.16_40.66,117.16,40.66,25.0,14.0
116.24_40.14,116.24,40.14,354.0,1560.0
116.24_40.15,116.24,40.15,405.0,432.0
116.24_40.16,116.24,40.16,1958.0,2959.0
116.24_40.17,116.24,40.17,797.0,2544.0
116.24_40.11,116.24,40.11,1347.0,5288.0
116.24_40.12,116.24,40.12,10234.0,886.0
116.24_40.13,116.24,40.13,1590.0,15.0
116.09_39.85,116.09,39.85,5.0,71.0
116.24_40.18,116.24,40.18,902.0,1148.0
116.24_40.19,116.24,40.19,2908.0,6154.0
116.76_39.7,116.76,39.7,13.0,394.0
115.61_39.76,115.61,39.76,4.0,1.0
116.76_39.9,116.76,39.9,108.0,447.0
116.76_39.8,116.76,39.8,340.0,1344.0
115.61_39.77,115.61,39.77,0.0,3.0
116.85_40.17,116.85,40.17,475.0,34.0
116.85_40.16,116.85,40.16,475.0,7.0
116.85_40.15,116.85,40.15,519.0,1845.0
116.85_40.14,116.85,40.14,9.0,234.0
116.85_40.13,116.85,40.13,17.0,63.0
116.85_40.12,116.85,40.12,17.0,99.0
116.52_39.9,116.52,39.9,9359.0,8534.0
116.52_39.8,116.52,39.8,6405.0,8.0
116.52_39.7,116.52,39.7,68.0,433.0
116.52_39.6,116.52,39.6,7.0,26.0
116.92_40.1,116.92,40.1,83.0,281.0
116.83_39.63,116.83,39.63,288.0,23.0
116.83_39.64,116.83,39.64,83.0,7.0
116.76_40.65,116.76,40.65,0.0,5.0
116.85_40.19,116.85,40.19,2.0,139.0
116.83_39.67,116.83,39.67,109.0,53.0
116.0_40.14,116.0,40.14,105.0,41.0
116.0_40.16,116.0,40.16,16.0,57.0
116.0_40.11,116.0,40.11,1.0,7.0
